taxon,date
ID1,1999.9
ID2,2003.1
ID3,2004.3
ID4,2008.3
ID5,2006.7
ID6,2009.7
ID7,2011.2
ID8,2009.7
ID9,2009.9
ID10,2010.7
ID11,2008.4
ID12,2006.9
ID13,2012.7
ID14,2008.2
ID15,2006.7
ID16,2009.9
ID17,2003.8
ID18,2006.4
ID19,2006.1
ID20,2008.7
ID21,2007.2
ID22,2008.2
ID23,2008
ID24,2010.7
ID25,2009.2
ID26,2006.8
ID28,2010.9
ID29,2006.3
ID30,2000.1
ID31,1999.2
ID32,2004.1
ID33,2009.4
ID34,2008.3
ID35,2008.6
ID36,2007.7
ID37,2006.9
ID38,2003.3
ID39,2008.6
ID40,2006.1
ID41,2008.4
ID42,2004.7
ID43,2005.7
ID44,2013.2
ID45,2006.8
ID46,2008.8
ID47,2010.7
ID48,2004.3
ID49,2008
ID50,2001.7
ID51,2007.9
ID52,2004.7
ID53,1998
ID54,2009.1
ID55,2006.9
ID56,2006.3
ID57,2005.3
ID58,2005.1
ID59,2010.9
ID60,2008.2
ID61,2004.7
ID62,1995.7
ID63,2001.4
ID64,1999.8
ID65,2006.4
ID66,2006.4
ID67,2008.8
ID68,2001.5
ID69,2002.3
ID70,1989.9
ID71,2007.7
ID72,2008.7
ID73,2006.9
ID74,2014.2
ID75,2008.1
ID76,2010.3
ID77,2010.5
ID78,2009.8
ID79,2008.6
ID80,2007.9
ID81,2009.3
ID82,2010
ID83,2008
ID84,2006.2
ID85,2010.7
ID86,2010.8
ID87,2012.2
ID88,2006.5
ID89,2003.3
ID90,2004.3
ID91,1995.2
ID92,2007
ID93,2010.9
ID94,2011.5
ID95,2008.9
ID96,2009.1
ID97,2009.3
ID98,2006.4
ID99,2006.6
ID100,2007.7
ID101,2002.4
ID102,2012.4
ID103,2005.6
ID104,1998.4
ID105,2007.1
ID106,2008.7
ID107,2006
ID108,2006.3
ID109,2005.9
ID110,2006.2
ID111,2006.7
ID112,2011.4
ID113,2012.7
ID114,2011.9
ID115,2007.3
ID116,2007.1
ID117,2008.6
ID118,2008.4
ID119,2012.4
ID120,2012.7
ID121,2010.8
ID122,2007.5
ID123,2008.8
ID124,2007
ID125,2009.5
ID126,2002.1
ID127,2007.8
ID128,2009.1
ID129,2005.2
ID130,2007.2
ID131,2008.3
ID132,2007.5
ID133,2005.3
ID134,2008.5
ID135,2004.2
ID136,2003.4
ID137,2006.6
ID138,2013.6
ID139,2007.9
ID140,2007.9
ID141,1990.9
ID142,2007
ID143,1996.1
ID144,1998.5
ID145,2006.5
ID146,2012.8
ID147,2009.2
ID148,2009.6
ID149,2014.1
ID150,2003
ID151,2009.2
ID152,2007.2
ID153,2012.1
ID154,2002.7
ID155,2011
ID156,2006.1
ID157,1996.3
