taxon,cellDiameter,pH,temp,cellLength,genomeLength,gcContent,codingSequenceLength
Acetohalobium_arabaticum,0.412462726,NaN,-151657e-9,0.258031552,-1.007161531,-1.253248971,-1.014528529
Acidaminococcus_fermentans,0.298372161,-0.234316782,0.27080423,NaN,-1.158725412,0.29453492,-1.329400544
Acidicapsa_ligni,-0.09238809,-3.887589583,-0.985456332,-0.777652598,NaN,NaN,NaN
Acinetobacter_sp_NBRC_100985,1.138247874,NaN,NaN,-0.347804838,-0.028156307,-0.935588181,0.002173179
Adhaeribacter_aquaticus,1.212058039,NaN,NaN,0.466860546,0.913036368,-1.001526152,0.912560434
Aeromonas_molluscorum,0.176915959,NaN,NaN,-0.590636785,0.395979474,0.569865715,0.314316757
Aestuariibacter_salexigens,-0.586136113,0.270801945,0.09273607,-0.880740117,0.102350928,-0.28517752,0.118349732
Afifella_pfennigii,-0.2430219,0.172527745,-0.144735685,-0.777652598,0.162637163,1.198718065,0.298144793
Agrococcus_lahaulensis_DSM_17612,0.298372161,0.743308954,-0.401224718,-1.050073163,-0.796654495,1.751102804,-0.68009453
Alcaligenes_faecalis_subsp_phenolicus_DSM_16503,0.047077034,NaN,-0.401224718,-1.207500357,0.403647262,0.375502074,0.462846498
Alcanivorax_dieselolei_B5,-0.586136113,NaN,-0.455081489,-0.880740117,0.789455382,0.768396401,0.874259202
Algicola_sagamiensis,0.810129104,0.022597916,-0.738842196,0.30702533,0.459712458,-0.740133338,0.541444229
Algoriphagus_boritolerans,-1.257369095,1.187161058,-0.509858929,-0.138975844,0.748313498,-0.75630273,NaN
Algoriphagus_mannitolivorans_DSM_15301,-0.784415959,1.187161058,0.313816986,-0.880740117,0.344387492,-0.748215621,0.315122992
Algoriphagus_marincola_DSM_16067,-0.586136113,-0.234316782,0.27080423,-0.014389013,0.513303761,-0.813053648,0.497116926
Algoriphagus_vanfongensis_DSM_17529,-0.784415959,NaN,NaN,-0.547324292,0.672824075,-0.740133338,0.592439336
Aliagarivorans_taiwanensis,0.412462726,0.743308954,-0.680044173,-0.385634108,0.502479064,0.095031087,0.585104082
Alicyclobacillus_acidocaldarius,0.176915959,-5.309067431,1.819897689,-0.014389013,-0.328813233,0.789973921,-0.182271617
Alicyclobacillus_contaminans,0.412462726,-3.887589583,1.392009391,0.863867942,-0.275319837,0.488268712,-0.067810206
Alicyclobacillus_pomorum,0.52003017,-3.887589583,1.071301727,0.258031552,-0.176890996,0.126836512,-0.050383968
Alistipes_onderdonkii,-1.257369095,NaN,NaN,-0.547324292,0.157972996,0.4557876,-0.106707074
Alistipes_onderdonkii_DSM_19147,-1.257369095,NaN,NaN,-0.547324292,0.157972996,0.4557876,-0.106707074
Alkalilimnicola_ehrlichii_MLHE_1,-1.00607397,NaN,NaN,-0.347804838,-0.272444826,1.27930305,-0.351727289
Alkanindiges_illinoisensis,1.138247874,NaN,NaN,-0.347804838,-0.25388163,-0.459749763,-0.19473902
Allochromatium_vinosum_DSM_180,2.022756148,-0.079088684,-0.985456332,0.77846319,0.022258123,0.989863117,-0.005019696
Aminobacterium_colombiense,1.602818289,0.072916446,0.27080423,0.488359857,-1.580951649,-0.539438291,-1.581700936
