row,col,corrs,p,signed_p,corr_ref,string_p,fill_p
genome length,genome length,,,,1.0,,
CDS length,genome length,,1.0,1.0,,,1.0
optimal temperature,genome length,,1.0,-1.0,,,1.0
GC percent,genome length,,0.9982223209821677,0.9982223209821677,,,1.0
cell diameter,genome length,,0.9999444475306928,0.9999444475306928,,,1.0
cell length,genome length,,0.9927226265207488,0.9927226265207488,,.99,
optimal pH,genome length,,0.9939447808455086,-0.9939447808455086,,.99,
genome length,CDS length,0.9893340103614552,,,,,
CDS length,CDS length,,,,1.0,,
optimal temperature,CDS length,,1.0,-1.0,,,1.0
GC percent,CDS length,,0.9993333703683128,0.9993333703683128,,,1.0
cell diameter,CDS length,,0.9999444475306928,0.9999444475306928,,,1.0
cell length,CDS length,,0.981889895005833,0.981889895005833,,.98,
optimal pH,CDS length,,0.9941669907227376,-0.9941669907227376,,.99,
genome length,optimal temperature,-0.5240625673711631,,,,,
CDS length,optimal temperature,-0.5019046804424865,,,,,
optimal temperature,optimal temperature,,,,1.0,,
GC percent,optimal temperature,,0.9977779012277096,0.9977779012277096,,,1.0
cell diameter,optimal temperature,,0.9991111604910838,-0.9991111604910838,,,1.0
cell length,optimal temperature,,0.8679517804566413,-0.8679517804566413,,.86,
optimal pH,optimal temperature,,0.5939670018332315,-0.5939670018332315,,.59,
genome length,GC percent,0.15789694576517124,,,,,
CDS length,GC percent,0.17170760437349167,,,,,
optimal temperature,GC percent,0.22040966460939282,,,,,
GC percent,GC percent,,,,1.0,,
cell diameter,GC percent,,0.723404255319149,-0.723404255319149,,.72,
cell length,GC percent,,0.9843897561246597,-0.9843897561246597,,.98,
optimal pH,GC percent,,0.5979667796233542,-0.5979667796233542,,.59,
genome length,cell diameter,0.4539606197400609,,,,,
CDS length,cell diameter,0.4458139482363323,,,,,
optimal temperature,cell diameter,-0.417688645718227,,,,,
GC percent,cell diameter,-0.054808106413180985,,,,,
cell diameter,cell diameter,,,,1.0,,
cell length,cell diameter,,0.652463752013777,0.652463752013777,,.65,
optimal pH,cell diameter,,0.9136159102272096,-0.9136159102272096,,.91,
genome length,cell length,0.27662961207355924,,,,,
CDS length,cell length,0.2417574434647949,,,,,
optimal temperature,cell length,-0.16010912295046487,,,,,
GC percent,cell length,-0.2315790862006252,,,,,
cell diameter,cell length,0.05850127045177114,,,,,
cell length,cell length,,,,1.0,,
optimal pH,cell length,,0.9157269040608855,0.9157269040608855,,.91,
genome length,optimal pH,-0.1941341700694764,,,,,
CDS length,optimal pH,-0.19878361957320317,,,,,
optimal temperature,optimal pH,-0.02581666519465253,,,,,
GC percent,optimal pH,-0.018761614488780616,,,,,
cell diameter,optimal pH,-0.18136141559994617,,,,,
cell length,optimal pH,0.21889045523965892,,,,,
optimal pH,optimal pH,,,,1.0,,
